product_name,product_price,product_url,similarity_score
多用途織物洗衣籃,$345,https://www.tw.coupang.com/products/%E5%A4%9A%E7%94%A8%E9%80%94%E7%B9%94%E7%89%A9%E6%B4%97%E8%A1%A3%E7%B1%83-21005038863852?itemId=21006775454845&vendorItemId=21075850572295&sourceType=search&rank=3&searchId=726645b7cd81474e9ac88bb1c643954d&q=%E4%B8%8D%E5%AE%B9%E6%98%93%E7%BA%8F%E7%B9%9E%E7%9A%84%E5%85%85%E9%9B%BB%E7%B7%9A,0.48548215654443816
kiel&noel 女款球鞋,$824,https://www.tw.coupang.com/products/kiel%26noel-%E5%A5%B3%E6%AC%BE%E7%90%83%E9%9E%8B-21006778148734?itemId=21015932219510&vendorItemId=21083139223912&sourceType=search&rank=4&searchId=8aa3e6cfdc4a4e24bb82816d845d075d&q=%E7%90%83%E9%9E%8B,0.3826269192886971
"21 世紀兒童蜜蜂籃, 紅色",$227,https://www.tw.coupang.com/products/21-%E4%B8%96%E7%B4%80%E5%85%92%E7%AB%A5%E8%9C%9C%E8%9C%82%E7%B1%83-21007141977774?itemId=21017934710546&vendorItemId=21085200662317&sourceType=search&rank=17&searchId=7a43e2a0aecb4aeca38ce96338b4be75&q=%E6%BB%91%E6%9D%BF%E8%BB%8A,0.3705400534765689
女款球鞋 WS613,$760,https://www.tw.coupang.com/products/%E5%A5%B3%E6%AC%BE%E7%90%83%E9%9E%8B-WS613-21006368516728?itemId=21013478327253&vendorItemId=21080732585046&sourceType=search&rank=3&searchId=47d179765c77428e9a979dcf54a59b1a&q=%E7%90%83%E9%9E%8B,0.3609509939250077
男款球鞋 MS232,$742,https://www.tw.coupang.com/products/%E7%94%B7%E6%AC%BE%E7%90%83%E9%9E%8B-MS232-21006353359156?itemId=21013377669864&vendorItemId=21080632573518&sourceType=search&rank=20&searchId=498d46d3cf174a45a69eb64f030ace5d&q=%E7%90%83%E9%9E%8B,0.3609509939250077
女款球鞋 WS643,$659,https://www.tw.coupang.com/products/%E5%A5%B3%E6%AC%BE%E7%90%83%E9%9E%8B-WS643-21006368186189?itemId=21013476248848&vendorItemId=21080730514914&sourceType=search&rank=28&searchId=efdc02be35b54c3aa83519299d49772b&q=%E7%90%83%E9%9E%8B,0.3609509939250077
PUMA 中筒球鞋,"$2,001",https://www.tw.coupang.com/products/PUMA-%E4%B8%AD%E7%AD%92%E7%90%83%E9%9E%8B-21006455162027?itemId=21014029040197&vendorItemId=21081277434489&sourceType=search&rank=5&searchId=9a38e7282f1a4e8993f3c716877ce2e2&q=%E7%90%83%E9%9E%8B,0.3556842789854366
女款甜美絨球鞋,$416,https://www.tw.coupang.com/products/%E5%A5%B3%E6%AC%BE%E7%94%9C%E7%BE%8E%E7%B5%A8%E7%90%83%E9%9E%8B-21005889125352?itemId=21010350988206&vendorItemId=21077633220417&sourceType=search&rank=17&searchId=47d179765c77428e9a979dcf54a59b1a&q=%E7%90%83%E9%9E%8B,0.3257854914834224
Bio Dial 高爾夫球鞋,$955,https://www.tw.coupang.com/products/Bio-Dial-%E9%AB%98%E7%88%BE%E5%A4%AB%E7%90%83%E9%9E%8B-21007755498221?itemId=21023037497419&vendorItemId=21090071225457&sourceType=search&rank=25&searchId=873f28972213480eb1a0ccb5efac7a33&q=%E7%90%83%E9%9E%8B,0.32463342938536033
Arnold Palmer 女款高爾夫球鞋,"$2,125",https://www.tw.coupang.com/products/Arnold-Palmer-%E5%A5%B3%E6%AC%BE%E9%AB%98%E7%88%BE%E5%A4%AB%E7%90%83%E9%9E%8B-21006689505797?itemId=21015454373273&vendorItemId=21082673962437&sourceType=search&rank=21&searchId=8aa3e6cfdc4a4e24bb82816d845d075d&q=%E7%90%83%E9%9E%8B,0.3187307062759864
